Substrate ID,SMILES,sasa_area,sasa_volume,disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,ip,ea,homo,lumo,electrophilicity,nucleophilicity,electrofugality,nucleofugality,dipole_x,dipole_y,dipole_z,mass,radius,charge
1,OC1=C(C([H])=O)C([C@H](C)C(C)=O)=C(C)C(O)=C1C,414.4868080472773,660.4335139651349,288.14807535277026,288.68685495910324,18.5465981389628,48.795646111453294,9.466877356358228,12.96419851221197,8.353558162365587,-0.4009838899076218,-0.396297014514028,3.664301702175377,-8.11819851221197,11.78250021438735,0.15674353980979006,1.0326545492833428,0.8016383968497429,0.6623081147837326,235.25579999999985,4.17617127650399,-1.0
2,OC1=C(C(C)=O)C=C(C)C(O)=C1C,360.08843616343756,539.7974170387894,235.71596338427247,224.94480931102635,17.510809030168176,44.96676687608809,8.91947073126185,12.860318429965002,4.758459126006749,-0.3794733748399402,-0.2756604017283951,0.9694349171053757,-8.014318429965002,8.983753347070378,1.0569757910986262,-0.8599971930708954,-1.8823198902551894,0.050683826501977974,180.20047999999989,3.9668286833522424,0.0
3,OC1=CC=CC=C1C([O-])=O,287.48704690145144,405.1965078146128,170.3338353669958,151.4234302640569,16.855645013666575,39.86438681081313,9.010912748778864,14.540580884175506,8.83998446556342,-0.43070308141108393,-0.4293344024895133,4.108710904404225,-9.694580884175506,13.803291788579727,0.11472643884080423,-3.3078078892419356,0.511976833172062,0.037950752879840524,136.10485999999997,3.1332053376171176,-2.0
4,OC1=CC=C(CC([H])=O)C=C1,312.30843320812966,445.4189773289385,194.01002136159624,174.09286369178102,16.696716451503207,43.650479498368725,8.533607373979478,13.12318395539779,4.170174765072613,-0.3865281403799508,-0.2665800297613855,0.806721142145572,-8.27718395539779,9.083905097543363,1.4825463770729594,0.8166899514239931,-0.4458938325418558,0.1286175470355153,136.14791999999994,3.6249206171379225,0.0
5,OC1=C(O)C=C(CC[NH3+])C=C1,338.7977925410984,490.73438340193036,217.41002875499552,197.41395821570183,16.677005748460964,41.85391258100709,8.788318337703611,12.449403252523007,7.0328219810997,-0.38667303512116347,-0.3631707765475449,2.2119235667786077,-7.603403252523007,9.815326819301614,0.02510158567890794,-2.48811730855303,0.4707758747105557,1.2411953340819712,152.1704999999999,4.063449803058223,-1.0
6,[O-]C(C1=CN=C(CO)C=C1)=O,314.1064581733179,447.69851167151097,188.6255989895331,170.10564255188112,16.822508691680554,42.368068502429864,9.22251962273563,14.109800323352095,8.460244872052167,-0.4329773248504645,-0.42353250376694507,3.66940482053139,-9.263800323352095,12.933205143883484,0.05515994847922315,-1.6542343408139901,-0.6098541510510314,0.9031982837390118,152.12743999999992,3.6084420909460584,-1.0
7,[O-]C(/C=C/C1=CC(OC)=CC(OC)=C1)=O,418.35755513465335,622.5434979397077,268.7270507091738,250.46601868180517,17.452072963876002,42.204252172672284,8.173601912815663,13.261269923990996,8.1550582779408,-0.40979176630375097,-0.406215152284818,3.365016016642751,-8.415269923990996,11.780285940633746,0.05595773870195133,2.809449140684793,2.3952567559829063,0.26587548887524226,207.2026399999999,5.1862580155939115,-1.0
8,OC1=C(C)C(O)=C(C([H])=O)C(C)=C1,334.8481182488213,495.15383476471237,211.61715425784115,200.679280603949,17.258078766160047,43.94824167620976,9.021598791707115,13.030925516522347,4.9358195624103125,-0.38561167188896633,-0.28539749064390335,1.0572963236901667,-8.184925516522346,9.242221840212512,0.9674767612798542,-0.2831064798436502,-1.1860898801116795,1.4790760786594168,166.17389999999992,3.444130841997006,0.0
9,O=CC1=C(Br)C=C(OC)C(C)=C1OC,392.37098215014356,600.3802978171154,262.98742300181095,254.8362350549238,18.45972310987745,46.16473529711514,8.502703850184707,13.139033681164625,5.403003979943446,-0.3972177075509307,-0.2960491631437747,1.2655582002009935,-8.293033681164625,9.55859188136562,0.7085542202575469,-2.064817411233584,-1.1755438917014795,0.1605521011021459,259.09654,4.177808417874432,0.0
10,OC1=C(C)C([O-])=C(C(C)=O)C=C1,334.5483148935967,493.9637710031762,212.62111133456523,199.4394303891049,17.112072753773106,44.041668226822225,8.752638897755322,13.200847744954336,7.887728879084218,-0.3962965942260573,-0.3907177477273927,3.055690123505064,-8.354847744954336,11.410537868459404,0.013961244420846767,1.762102473782451,0.5129634061104036,0.4423066074420119,165.16595999999993,4.00302755486307,-1.0
