Substrate ID,SMILES,sasa_area,sasa_volume,disp_area,disp_volume,disp_p_int,disp_p_max,disp_p_min,ip,ea,homo,lumo,electrophilicity,nucleophilicity,electrofugality,nucleofugality,dipole_x,dipole_y,dipole_z,mass,radius,charge
1,OC1=C(C([H])=O)C([C@H](C)C(C)=O)=C(C)C(O)=C1C,,,,,,,,,,,,,,,,,,,,,
2,OC1=C(C(C)=O)C=C(C)C(O)=C1C,,,,,,,,,,,,,,,,,,,,,
3,OC1=CC=CC=C1C([O-])=O,,,,,,,,,,,,,,,,,,,,,
4,OC1=CC=C(CC([H])=O)C=C1,,,,,,,,,,,,,,,,,,,,,
5,OC1=C(O)C=C(CC[NH3+])C=C1,,,,,,,,,,,,,,,,,,,,,
6,[O-]C(C1=CN=C(CO)C=C1)=O,,,,,,,,,,,,,,,,,,,,,
7,[O-]C(/C=C/C1=CC(OC)=CC(OC)=C1)=O,,,,,,,,,,,,,,,,,,,,,
8,OC1=C(C)C(O)=C(C([H])=O)C(C)=C1,,,,,,,,,,,,,,,,,,,,,
9,O=CC1=C(Br)C=C(OC)C(C)=C1OC,,,,,,,,,,,,,,,,,,,,,
10,OC1=C(C)C([O-])=C(C(C)=O)C=C1,,,,,,,,,,,,,,,,,,,,,
11,O=C1C2=CC=CC=C2OC(C3=CC=CC=C3)=C1OC,,,,,,,,,,,,,,,,,,,,,
12,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=CC=C3)=C1,,,,,,,,,,,,,,,,,,,,,
13,O=C1OC2=CC(O)=C(OC)C=C2C=C1,,,,,,,,,,,,,,,,,,,,,
14,O[C@H]1C2=CC=CC=C2O[C@H](C3=CC=CC=C3)[C@H]1O,,,,,,,,,,,,,,,,,,,,,
15,O=C1C2=CC=CC=C2O[C@H](C3=CC=CC=C3)[C@H]1O,,,,,,,,,,,,,,,,,,,,,
16,O=C([O-])CC1=CNC2=C1C=CC=C2,,,,,,,,,,,,,,,,,,,,,
17,O=C(C)NCCC1=CNC2=CC=C(C=C12)OC,,,,,,,,,,,,,,,,,,,,,
18,FC1=CC2=CC=CC=C2C=C1OC,,,,,,,,,,,,,,,,,,,,,
19,O=C1C[C@@H](C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,,,,,,,,,,,,,,,,,,,,,
20,O=C1C=C(C)OC2=CC(OC)=C(C)C(OC)=C21,,,,,,,,,,,,,,,,,,,,,
21,O=C(OC1)C2=C1[C@]3(C)C(O[C@@]4(C)CC[C@@]5([H])C(C)(C)C(CC[C@]5(C)[C@]4([H])C3)=O)=C(C)C2=O,,,,,,,,,,,,,,,,,,,,,
22,O=C(O[C@H](C)C1)C2=C1C3=C(C=C2O)O[C@@]4(C)CC[C@@]5([H])C(C)(C)C(CC[C@]5(C)[C@]4([H])C3)=O,,,,,,,,,,,,,,,,,,,,,
23,O=C(O[C@H](C)C1)C2=C1C3=C(C=C2O)O[C@@]4(C)CC[C@@]5([H])C(C)(C)C(C=C[C@]5(C)[C@]4([H])C3)=O,,,,,,,,,,,,,,,,,,,,,
